"siteid","gvillcode","mgt_lead","for_v_lead"
"302012","302109",1,1
"302012","302110",1,1
"302012","302111",1,1
"302012","302112",1,1
"302011","302113",1,1
"302012","302114",1,1
"302011","302115",1,1
"302011","302116",1,1
"302011","302117",1,1
"302012","302118",1,1
"302012","302119",1,1
"302012","302120",1,1
"302012","302121",1,1
"302012","302122",1,1
"302021","302201",0,1
"302022","302202",0,1
"302022","302203",0,1
"302022","302204",0,1
"302021","302205",0,1
"302022","302206",0,1
"303011","303101",1,1
"303011","303103",1,1
"303011","303104",1,1
"303011","303105",1,1
"303011","303106",1,1
"303011","303108",0,1
"303011","303109",1,1
"303011","303110",1,1
"303011","303111",0,1
"303011","303112",1,1
"303011","303113",1,1
"303011","303115",1,1
"303011","303116",0,1
"303011","303117",1,1
"303011","303118",1,1
"303011","303119",1,1
"303011","303120",1,1
"303012","303121",1,1
"303012","303122",1,1
"303012","303123",1,1
"303012","303124",1,1
"303012","303125",1,1
"303012","303126",0,1
"303012","303127",1,1
"303012","303128",1,1
"303012","303129",0,1
"303012","303130",1,1
"303012","303131",1,1
"304011","304101",1,1
"304012","304102",1,1
"304021","304201",0,0
"304021","304202",0,0
"304021","304203",0,0
"304022","304204",0,0
"304022","304205",0,0
"305011","305101",0,1
"305011","305102",1,1
"305012","305103",0,1
"305012","305104",1,1
"305012","305105",1,1
"306011","306101",0,1
"306011","306102",0,1
"306011","306103",0,1
"306011","306104",0,1
"306011","306105",0,1
"306011","306106",0,1
"306011","306107",0,1
"306011","306108",0,1
"306011","306109",0,1
"306011","306110",0,1
"306011","306111",0,1
"306011","306112",0,1
"306011","306113",0,1
"306011","306114",0,1
"306011","306115",0,1
"306021","306201",1,1
"306021","306202",1,1
"306021","306203",1,1
"306021","306204",1,1
"306021","306205",1,1
"306021","306206",1,1
"306021","306207",1,1
"306021","306208",0,1
"306021","306209",1,1
"306021","306210",1,1
"306021","306211",0,1
"306021","306212",1,1
"306021","306213",1,1
"306021","306214",1,1
"306021","306215",1,1
"307011","307101",1,1
"307011","307102",1,1
"307011","307103",1,1
"307011","307104",1,1
"307011","307105",1,1
"307011","307106",0,1
"307012","307107",1,1
"307012","307108",0,1
"307012","307109",0,1
"307012","307110",0,1
"307012","307111",0,1
"307012","307112",0,1
"307013","307113",1,1
"307013","307114",0,1
"307013","307115",1,1
"307013","307116",0,1
"307013","307117",0,1
"307013","307118",0,1
"308011","308101",0,1
"308011","308102",0,1
"308012","308103",1,1
"308012","308104",1,1
"309011","309101",1,1
"309011","309102",1,1
"309011","309103",1,1
"309011","309104",1,1
"309011","309105",0,1
"309011","309106",1,1
"309011","309107",1,1
"309011","309108",1,1
"309012","309109",1,1
"309012","309110",1,1
"309012","309111",1,1
"309012","309112",1,1
"309012","309113",1,1
"309012","309114",1,1
"309012","309115",1,1
"309012","309116",1,1
"309011","309117",1,1
"309021","309201",1,1
"309021","309202",1,1
"309021","309203",1,1
"309021","309204",1,1
"309021","309205",1,1
"309021","309206",1,1
"309021","309207",1,1
"309021","309208",1,1
"309021","309209",1,1
"310011","310101",0,0
"310011","310102",0,0
"310011","310103",1,1
"310012","310104",1,1
"310012","310105",1,1
"311011","311101",1,1
"311011","311102",1,1
"311012","311103",1,1
"311012","311104",1,1
