"siteid","gvillcode","offyr","offmon","offday","offby","fgyr","fgmon","fgday","fgby","intyear","intmon","intday","intby","entyear","entmon","entday","entby"
"104021","104209",2007,5,23,14,2007,5,23,14,2007,5,23,14,2008,4,23,18
"104021","104210",2007,5,24,14,2007,5,24,14,2007,5,24,14,2008,4,26,18
"104021","104211",2007,5,13,18,2007,5,13,18,2007,5,13,18,2008,5,14,18
"104021","104212",2007,5,14,13,2007,5,14,13,2007,5,14,13,2008,5,17,18
"104021","104213",2007,10,5,18,2007,10,5,18,2007,10,5,18,2008,8,6,18
"104021","104214",2007,10,16,18,2007,10,16,18,2007,10,16,18,2008,7,16,18
"104021","104215",2007,6,23,15,2007,6,23,15,2007,6,23,15,2008,4,24,18
"104021","104216",2007,6,3,18,2007,5,3,18,2007,5,3,18,2008,9,5,18
"104021","104217",2007,5,24,13,2007,5,24,13,2007,5,24,13,2008,4,24,18
"104021","104218",2007,5,14,15,2007,5,14,15,2007,5,14,15,2008,5,14,15
"104021","104219",2007,6,16,15,2007,6,16,15,2007,6,16,15,2008,5,19,18
"104021","104220",2007,5,13,15,2007,5,13,15,2007,5,13,15,2008,5,14,18
"104021","104221",2007,5,24,18,2007,5,24,18,2007,5,24,18,2008,7,25,18
"104021","104222",2007,10,18,18,2007,10,18,18,2007,10,18,18,2008,8,10,18
"104021","104223",2007,10,27,18,2007,10,27,18,2007,10,27,18,2008,8,7,18
"104021","104224",2007,5,11,18,2007,5,11,18,2007,5,11,18,2008,3,12,18
"104021","104225",2007,5,13,13,2007,5,13,13,2007,5,13,13,2008,5,14,18
"104021","104226",2007,5,29,18,2007,5,29,18,2007,5,29,18,2008,8,10,18
"104021","104227",2007,5,5,18,2007,5,5,18,2007,5,5,18,2008,8,7,18
"104021","104228",2007,5,13,13,2007,5,13,13,2007,5,13,13,2008,5,13,18
"104021","104229",2007,5,17,4,2007,5,17,4,2007,5,17,4,2008,7,16,18
"104021","104230",2007,5,11,18,2007,5,11,18,2007,5,11,18,2008,3,11,18
"104021","104231",2007,5,17,18,2007,5,17,18,2007,5,17,18,2008,3,13,18
"104021","104232",2007,5,13,13,2007,5,13,13,2007,5,13,13,2008,5,17,18
"208011","208101",2008,1,2,3,2008,1,2,2,2008,1,2,2,2008,3,12,2
"208011","208102",2008,1,2,2,2008,1,2,2,2008,1,2,2,2008,3,12,2
"208011","208103",2008,1,3,2,2008,1,3,2,2008,1,3,2,2008,3,12,2
"208011","208104",2008,1,5,4,2008,1,5,4,2008,1,5,4,2008,3,12,2
"208011","208105",2008,1,3,1,2008,1,3,1,2008,1,3,1,2008,3,12,2
"208012","208106",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208107",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208108",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208109",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208110",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208013","208111",2008,1,23,2,2008,1,23,2,2008,1,23,2,2008,3,10,2
"208013","208112",2008,1,25,2,2008,1,25,2,2008,1,25,2,2008,3,10,2
"208013","208113",2008,1,26,2,2008,1,26,2,2008,1,26,2,2008,3,10,2
"208013","208114",2008,1,25,2,2008,1,25,2,2008,1,25,2,2008,3,10,2
"208013","208115",2008,1,27,2,2008,1,27,2,2008,1,27,2,2008,3,10,2
"207011","207101",2007,3,12,1,2007,3,13,1,2007,3,14,1,2007,5,20,1
"207011","207102",2007,3,13,1,2007,3,13,1,2007,3,14,1,2007,5,20,1
"207011","207103",2007,3,15,1,2007,3,15,1,2007,3,16,1,2007,5,20,1
"207011","207104",2007,3,15,1,2007,3,15,1,2007,3,18,1,2007,3,19,1
"207011","207105",2007,3,17,1,2007,3,17,1,2007,3,17,1,2007,5,20,1
"207011","207106",2007,3,16,1,2007,3,16,1,2007,3,18,1,2007,5,20,1
