"siteid","gvillcode","offyr","offmon","offday","offby","fgyr","fgmon","fgday","fgby","intyear","intmon","intday","intby","entyear","entmon","entday","entby"
"302011","302102",2007,5,1,15,2007,5,1,15,-8,-8,-8,-8,2008,2,21,16
"302011","302103",2007,5,2,16,2007,5,2,16,-8,-8,-8,-8,2007,12,8,16
"302012","302104",2007,5,2,16,2007,5,2,16,-8,-8,-8,-8,2008,2,5,16
"302012","302105",2007,4,15,16,2007,4,15,16,-8,-8,-8,-8,2008,2,21,16
"302011","302106",2007,4,14,16,2007,4,14,16,-8,-8,-8,-8,2008,2,8,16
"302012","302107",2007,4,14,16,2007,4,14,16,-8,-8,-8,-8,2008,2,12,16
"302012","302108",2007,4,13,16,2007,4,13,16,-8,-8,-8,-8,2008,2,5,16
"302012","302109",2007,4,7,16,2007,4,7,16,-8,-8,-8,-8,2008,2,12,16
"302012","302110",2007,4,17,16,2007,4,17,16,-8,-8,-8,-8,2008,2,5,16
"302012","302111",2007,4,13,16,2007,4,28,15,-8,-8,-8,-8,2008,2,21,16
"302012","302112",2007,4,23,16,2007,4,23,16,-8,-8,-8,-8,2008,2,12,16
"302011","302113",2007,5,7,16,2007,5,7,16,-8,-8,-8,-8,2008,2,21,16
"302012","302114",2007,4,20,16,2007,4,20,16,-8,-8,-8,-8,2008,2,5,16
"302011","302115",2007,4,21,16,2007,4,21,16,-8,-8,-8,-8,2008,2,12,16
"302011","302116",2007,4,25,16,2007,4,25,16,-8,-8,-8,-8,2008,2,12,16
"302011","302117",2007,4,21,16,2007,4,21,16,-8,-8,-8,-8,2008,2,5,16
"302012","302118",2007,9,12,15,2007,4,24,16,-8,-8,-8,-8,2008,2,21,16
"302012","302119",2007,4,23,16,2007,4,23,16,-8,-8,-8,-8,2007,12,8,16
"302012","302120",2007,5,5,16,2007,5,5,16,-8,-8,-8,-8,2008,2,5,16
"302012","302121",2007,5,4,16,2007,5,4,16,-8,-8,-8,-8,2008,2,5,16
"302012","302122",2007,5,4,16,2007,5,4,16,-8,-8,-8,-8,2008,2,5,16
