"siteid","gvillcode","land_v_cat","land_v_total","land_v_state","land_v_comm","land_v_priv","land_v_open"
"103011","103109",11,3,0,1,2,0
"103011","103109",14,-9,0,-9,-9,0
"103011","103110",1,-9,0,-9,-9,0
"103011","103110",4,-9,0,0,-9,0
"103011","103110",5,-9,0,0,-9,0
"103011","103110",8,-9,0,0,-9,0
"103011","103110",11,2,0,1,1,0
"103011","103110",14,-9,0,-9,-9,0
"103011","103111",1,-9,0,-9,-9,0
"103011","103111",4,-9,0,0,-9,0
"103011","103111",5,-9,0,0,-9,0
"103011","103111",8,-9,0,0,-9,0
"103011","103111",11,2,0,1,1,0
"103011","103111",14,-9,0,-9,-9,0
"103011","103112",1,-9,-9,-9,-9,0
"103011","103112",2,-9,-9,0,0,0
"103011","103112",4,-9,-9,0,-9,0
"103011","103112",5,-9,0,0,-9,0
"103011","103112",8,-9,0,0,-9,0
"103011","103112",11,50,5,5,40,0
"103011","103112",14,-9,5,-9,-9,0
"103011","103113",1,-9,-9,-9,-9,0
"103011","103113",2,-9,-9,0,0,0
"103011","103113",4,-9,-9,0,-9,0
"103011","103113",5,-9,0,0,-9,0
"103011","103113",8,-9,0,0,-9,0
"103011","103113",11,3,0,1,2,0
"103011","103113",14,-9,-9,-9,-9,0
"103011","103114",1,-9,-9,-9,-9,0
"103011","103114",2,-9,-9,0,0,0
"103011","103114",4,-9,-9,0,-9,0
"103011","103114",5,-9,0,0,-9,0
"103011","103114",8,-9,0,0,-9,0
"103011","103114",11,15,0,5,10,0
"103011","103114",14,-9,-9,-9,-9,0
"104021","104201",1,640,64,0,576,0
"104021","104201",5,300,30,0,270,0
"104021","104201",7,500,50,0,450,0
"104021","104201",8,160,16,0,144,0
"104021","104201",14,1600,160,0,1440,0
"104021","104202",1,840,0,0,840,0
"104021","104202",4,840,0,0,840,0
"104021","104202",11,4,0,4,0,0
"104021","104202",14,16800,0,4,16796,0
"104021","104202",5,15116,0,0,15116,0
"104021","104203",1,500,0,0,500,0
"104021","104203",4,20,2,0,18,0
"104021","104203",5,2474,247.4,0,2226.6,0
"104021","104203",11,6,0,6,0,0
"104021","104203",14,12350,299.4,9356,2694.6,0
"104021","104204",1,1010,201,5,804,0
"104021","104204",3,25,5,0,20,0
"104021","104204",4,50,10,0,40,0
"104021","104204",5,1550,310,0,1240,0
"104021","104204",8,200,40,0,160,0
"104021","104204",10,30,6,0,24,0
"104021","104204",12,2,0,0,2,0
"104021","104204",14,2867,572,5,2290,0
"104021","104205",1,1200,226.2,0,973.8,0
"104021","104205",4,10,1.9,0,8.1,0
"104021","104205",6,10,1.9,0,8.1,0
"104021","104205",8,160,30.2,0,129.8,0
"104021","104205",11,8,8,0,0,0
"104021","104205",14,3397.5,647.1,0,2750.4,0
"104021","104205",5,2010,378.9,0,1631.1,0
"104021","104206",1,5290,0,5290,0,0
"104021","104206",4,50,0,50,0,0
"104021","104206",5,10,0,10,0,0
"104021","104206",6,15,0,15,0,0
"104021","104206",7,10,0,10,0,0
"104021","104206",8,120,0,120,0,0
"104021","104206",11,5,0,5,0,0
"104021","104206",14,5500,0,5500,0,0
"104021","104207",1,10450,9450,0,1000,0
"104021","104207",4,500,0,0,500,0
"104021","104207",6,300,20,0,280,0
"104021","104207",7,430,30,0,400,0
"104021","104207",8,500,0,0,500,0
"104021","104207",12,40,0,0,40,0
"104021","104207",14,12230,9500,0,2720,0
"104021","104208",1,45,45,0,0,0
"104021","104208",2,40,40,0,0,0
"104021","104208",3,10,10,0,0,0
"104021","104208",4,40,40,0,0,0
"104021","104208",6,22,22,0,0,0
"104021","104208",7,4,4,0,0,0
"104021","104208",8,11,11,0,0,0
"104021","104208",10,1,1,0,0,0
"104021","104208",11,11,11,0,0,0
"104021","104208",12,15,15,0,0,0
"104021","104208",14,205,205,0,0,0
"104021","104208",5,6,6,0,0,0
"104021","104209",1,60,60,0,0,0
"104021","104209",3,15,15,0,0,0
"104021","104209",4,20,20,0,0,0
"104021","104209",8,21,21,0,0,0
"104021","104209",14,120,120,0,0,0
"104021","104209",5,4,4,0,0,0
"104021","104210",1,11004,0,11004,0,0
"104021","104210",4,250,0,250,0,0
"104021","104210",6,36,0,36,0,0
"104021","104210",7,150,0,150,0,0
"104021","104210",8,500,0,500,0,0
"104021","104210",11,10,0,10,0,0
"104021","104210",12,50,0,50,0,0
"104021","104210",14,12000,0,12000,0,0
"104021","104211",1,2130,2130,0,0,0
"104021","104211",3,2.5,0,0,2.5,0
"104021","104211",4,120,0,0,120,0
"104021","104211",6,60,0,0,60,0
"104021","104211",7,1200,0,0,1200,0
"104021","104211",8,420,0,0,420,0
"104021","104211",11,5,0,0,5,0
"104021","104211",14,4000,1712.5,0,2287.5,0
"104021","104212",1,1960,0,1960,0,0
"104021","104212",4,120,0,120,0,0
"104021","104212",6,90,0,90,0,0
"104021","104212",7,50,0,50,0,0
"104021","104212",14,2985,0,2985,0,0
"104021","104212",8,765,0,765,0,0
"104021","104213",1,2626,0,2626,0,0
"104021","104213",3,70,0,70,0,0
"104021","104213",4,156,0,156,0,0
"104021","104213",6,100,0,100,0,0
"104021","104213",8,1161,0,1161,0,0
"104021","104213",11,24,0,24,0,0
"104021","104213",14,5029,0,5029,0,0
"104021","104213",5,892,0,892,0,0
"104021","104214",1,5980.68,0,5980.68,0,0
"104021","104214",4,0.5,0,0.5,0,0
"104021","104214",6,1.5,0,1.5,0,0
"104021","104214",11,2,0,2,0,0
"104021","104214",14,5985.68,0,5985.68,0,0
"104021","104214",8,1,0,1,0,0
"104021","104215",1,455,0,455,0,0
"104021","104215",6,120,0,120,0,0
"104021","104215",11,5,0,5,0,0
"104021","104215",14,620,0,620,0,0
"104021","104215",5,40,0,40,0,0
"104021","104216",6,36.5,0,36.5,0,0
"104021","104216",11,2.5,0,2.5,0,0
"104021","104216",14,39,0,39,0,0
"104021","104217",2,100,0,100,0,0
"104021","104217",4,100,0,100,0,0
"104021","104217",6,50,0,50,0,0
"104021","104217",8,50,0,50,0,0
"104021","104217",14,300,0,300,0,0
"104021","104218",1,10,0,0,10,0
"104021","104218",3,3,0,0,3,0
"104021","104218",4,5.5,0,0,5.5,0
"104021","104218",6,3.5,0,0,3.5,0
"104021","104218",8,8,0,0,8,0
"104021","104218",11,1.1,0,0.75,0.35,0
"104021","104218",14,36.1,0,0.75,35.35,0
"104021","104218",5,5,0,0,5,0
"104021","104219",1,376,0,24,352,0
"104021","104219",3,4,0,2,2,0
"104021","104219",4,10,0,6,4,0
"104021","104219",6,106,0,66,40,0
"104021","104219",11,10,10,0,0,0
"104021","104219",14,584,10,122,452,0
"104021","104219",5,10,0,0,10,0
"104021","104219",8,68,0,24,44,0
"104021","104220",1,200,200,0,0,0
"104021","104220",4,90,90,0,0,0
"104021","104220",6,33,33,0,0,0
"104021","104220",11,4,4,0,0,0
"104021","104220",13,12,12,0,0,0
"104021","104220",14,409,409,0,0,0
"104021","104220",5,70,70,0,0,0
"104021","104221",1,150,25,0,125,0
"104021","104221",4,200,33.4,0,166.6,0
"104021","104221",5,400,66.8,0,333.2,0
"104021","104221",6,40,6.7,0,33.3,0
"104021","104221",8,200,33.4,0,166.6,0
"104021","104221",11,5,0,5,0,0
"104021","104221",12,11,2.7,0,8.3,0
"104021","104221",14,1006,168,5,833,0
"104021","104222",1,460.9,46.1,0,414.8,0
"104021","104222",4,76.6,7.4,0,69.2,0
"104021","104222",6,8,0.8,0,7.2,0
"104021","104222",8,24,2.4,0,21.6,0
"104021","104222",11,5,0.3,2,2.7,0
"104021","104222",14,622.5,61.8,2,558.7,0
"104021","104222",5,48,4.8,0,43.2,0
"104021","104223",1,3439,0,3439,0,0
"104021","104223",6,330,0,330,0,0
"104021","104223",8,120,0,120,0,0
"104021","104223",11,9.5,0,9.5,0,0
"104021","104223",14,3978.5,0,3978.5,0,0
"104021","104223",5,80,0,80,0,0
"104021","104224",1,13385,0,13385,0,0
"104021","104224",4,1120,0,1120,0,0
"104021","104224",5,75,0,75,0,0
"104021","104224",6,420,0,420,0,0
"104021","104224",8,840,0,840,0,0
"104021","104224",10,50,0,50,0,0
"104021","104224",11,100,0,100,0,0
"104021","104224",12,10,0,10,0,0
"104021","104224",14,16000,0,16000,0,0
"104021","104225",1,220,220,0,0,0
"104021","104225",4,32,32,0,0,0
"104021","104225",5,5.5,5.5,0,0,0
"104021","104225",6,3.5,3.5,0,0,0
"104021","104225",8,183,183,0,0,0
"104021","104225",11,4,4,0,0,0
"104021","104225",14,450,450,0,0,0
"104021","104226",1,24585,0,24585,0,0
"104021","104226",4,55,0,55,0,0
"104021","104226",6,70,0,70,0,0
"104021","104226",8,18,0,18,0,0
"104021","104226",11,4,0,4,0,0
"104021","104226",12,2,0,2,0,0
"104021","104226",14,24734,0,24734,0,0
"104021","104227",1,16699,16699,0,0,0
"104021","104227",4,22,22,0,0,0
"104021","104227",6,60,60,0,0,0
"104021","104227",11,14,14,0,0,0
"104021","104227",12,5,5,0,0,0
"104021","104227",14,16800,16800,0,0,0
"104021","104228",1,3358,2431.2,0,926.8,0
"104021","104228",4,480,347.5,0,132.5,0
"104021","104228",7,719.5,520.9,0,198.6,0
"104021","104228",11,3,0,3,0,0
"104021","104228",14,4800.5,3473.4,3,1324.1,0
"104021","104228",5,240,173.8,0,66.2,0
"104021","104229",1,1080,856.4,0,223.6,0
"104021","104229",4,24,19,0,5,0
"104021","104229",8,96,76.1,0,19.9,0
"104021","104229",14,1200,951.5,0,248.5,0
"104021","104230",1,1665,0,1665,0,0
"104021","104230",4,148,0,148,0,0
"104021","104230",6,10,0,10,0,0
